年度,地區別,蔬菜類別,種植面積,收穫面積,每公頃平均產量,產量,,,,
2015,新北市,蘿蔔,81.92,81.92,30553.38135,2502.933,,,,
2015,台北市,蘿蔔,59.68,59.68,9414.024799,561.829,,,,
2015,桃園市,蘿蔔,15.35,15.35,19872.3127,305.04,,,,
2015,台中市,蘿蔔,74.1,74.1,32040.24291,2374.182,,,,
2015,台南市,蘿蔔,201.18,201.18,49297.02754,9917.576,,,,
2015,高雄市,蘿蔔,409.39,409.39,37621.00442,15401.663,,,,
2015,宜蘭縣,蘿蔔,30.17,30.17,28263.34107,852.705,,,,
2015,新竹縣,蘿蔔,48.73,48.73,19792.0788,964.468,,,,
2015,苗栗縣,蘿蔔,82.17,82.17,23665.09675,1944.561,,,,
2015,彰化縣,蘿蔔,339.65,339.65,36970.88179,12557.16,,,,
2015,南投縣,蘿蔔,99.75,99.75,15728.82206,1568.95,,,,
2015,雲林縣,蘿蔔,712.72,712.72,44626.88573,31806.474,,,,
2015,嘉義縣,蘿蔔,181.27,175.78,38927.57993,6842.69,,,,
2015,屏東縣,蘿蔔,41.28,41.28,18511.07074,764.137,,,,
2015,台東縣,蘿蔔,22.17,22.17,22512.17862,499.095,,,,
2015,花蓮縣,蘿蔔,53.05,53.05,13507.16305,716.555,,,,
2015,澎湖縣,蘿蔔,5.48,5.48,9591.058394,52.559,,,,
2015,基隆市,蘿蔔,0.89,0.89,9960.674157,8.865,,,,
2015,新竹市,蘿蔔,2.6,2.6,14178.84615,36.865,,,,
2015,嘉義市,蘿蔔,0,0,0,0,,,,
2015,金門縣,蘿蔔,1.64,1.64,25643.29268,42.055,,,,
2015,連江縣,蘿蔔,0,0,0,0,,,,
2015,新北市,胡蘿蔔,8.17,8.17,16044.92044,131.087,,,,
2015,台北市,胡蘿蔔,11.6,11.6,12677.24138,147.056,,,,
2015,桃園市,胡蘿蔔,0.77,0.77,16337.66234,12.58,,,,
2015,台中市,胡蘿蔔,20.26,20.26,31067.91708,629.436,,,,
2015,台南市,胡蘿蔔,634.87,634.87,64002.71079,40633.401,,,,
2015,高雄市,胡蘿蔔,2.86,2.86,31527.62238,90.169,,,,
2015,宜蘭縣,胡蘿蔔,1.61,1.61,17481.36646,28.145,,,,
2015,新竹縣,胡蘿蔔,1.77,1.77,18203.38983,32.22,,,,
2015,苗栗縣,胡蘿蔔,0.2,0.2,24825,4.965,,,,
2015,彰化縣,胡蘿蔔,597.49,597.49,39628.76366,23677.79,,,,
2015,南投縣,胡蘿蔔,0,0,0,0,,,,
2015,雲林縣,胡蘿蔔,1071.79,1071.79,40490.24529,43397.04,,,,
2015,嘉義縣,胡蘿蔔,1.56,1.56,23301.28205,36.35,,,,
2015,屏東縣,胡蘿蔔,0.18,0.18,16444.44444,2.96,,,,
2015,台東縣,胡蘿蔔,0.09,0.09,14555.55556,1.31,,,,
2015,花蓮縣,胡蘿蔔,1.48,1.48,15966.89189,23.631,,,,
2015,澎湖縣,胡蘿蔔,8.7,8.7,10056.55172,87.492,,,,
2015,基隆市,胡蘿蔔,0,0,0,0,,,,
2015,新竹市,胡蘿蔔,0.33,0.33,14669.69697,4.841,,,,
2015,嘉義市,胡蘿蔔,0,0,0,0,,,,
2015,金門縣,胡蘿蔔,0.64,0.64,24923.4375,15.951,,,,2350.04
2015,連江縣,胡蘿蔔,0,0,0,0,,,,
2015,新北市,其他根菜類,1.12,1.12,15000,16.8,,,,
2015,台北市,其他根菜類,0,0,0,0,,,,
2015,桃園市,其他根菜類,0,0,0,0,,,,
2015,台中市,其他根菜類,3.88,3.88,22709.79381,88.114,,,,
2015,台南市,其他根菜類,40.04,40.04,19753.2967,790.922,,,,
2015,高雄市,其他根菜類,124.42,124.42,18887.96014,2350.04,,,,
2015,宜蘭縣,其他根菜類,2.67,2.67,20737.82772,55.37,,,,
2015,新竹縣,其他根菜類,0,0,0,0,,,,
2015,苗栗縣,其他根菜類,0,0,0,0,,,,
2015,彰化縣,其他根菜類,9.33,9.33,20163.98714,188.13,,,,
2015,南投縣,其他根菜類,0,0,0,0,,,,
2015,雲林縣,其他根菜類,167.85,167.85,28295.92493,4749.471,,,,
2015,嘉義縣,其他根菜類,188.95,188.95,30825.50939,5824.48,,,,
2015,屏東縣,其他根菜類,121.89,121.89,21120.42825,2574.369,,,,
2015,台東縣,其他根菜類,0.2,0.2,9000,1.8,,,,
2015,花蓮縣,其他根菜類,0.04,0.04,14000,0.56,,,,
2015,澎湖縣,其他根菜類,0,0,0,0,,,,
2015,基隆市,其他根菜類,0,0,0,0,,,,
2015,新竹市,其他根菜類,0,0,0,0,,,,
2015,嘉義市,其他根菜類,0,0,0,0,,,,
2015,金門縣,其他根菜類,0,0,0,0,,,,
2015,連江縣,其他根菜類,0,0,0,0,,,,
2015,新北市,薑,6.43,6.43,18552.5661,119.293,,,,
2015,台北市,薑,2.17,2.17,8300,18.011,,,,
2015,桃園市,薑,7.64,7.64,39134.81675,298.99,,,,
2015,台中市,薑,56.52,56.52,17127.84855,968.066,,,,
2015,台南市,薑,2.6,2.6,25623.07692,66.62,,,,
2015,高雄市,薑,32.9,32.9,21337.99392,702.02,,,,
2015,宜蘭縣,薑,48.83,48.83,28651.48474,1399.052,,,,
2015,新竹縣,薑,16.39,16.39,17535.08237,287.4,,,,
2015,苗栗縣,薑,88.29,88.29,22562.01155,1992,,,,
2015,彰化縣,薑,0.36,0.36,17777.77778,6.4,,,,
2015,南投縣,薑,219.66,219.66,35323.591,7759.18,,,,
2015,雲林縣,薑,33.02,33.02,24746.82011,817.14,,,,
2015,嘉義縣,薑,32.21,32.21,37875.19404,1219.96,,,,
2015,屏東縣,薑,10.41,10.41,17303.45821,180.129,,,,
2015,台東縣,薑,274.95,274.95,29567.38316,8129.552,,,,
2015,花蓮縣,薑,29.39,29.39,16510.30963,485.238,,,,
2015,澎湖縣,薑,0,0,0,0,,,,
2015,基隆市,薑,0,0,0,0,,,,
2015,新竹市,薑,0,0,0,0,,,,
2015,嘉義市,薑,1,1,16000,16,,,,
2015,金門縣,薑,0.02,0.02,22100,0.442,,,,
2015,連江縣,薑,0,0,0,0,,,,
2015,新北市,芋,79.65,79.65,11741.56937,935.216,,,,
2015,台北市,芋,3.5,3.5,14114.28571,49.4,,,,
2015,桃園市,芋,2.3,2.3,14591.30435,33.56,,,,
2015,台中市,芋,774.85,774.85,17645.72369,13672.789,,,,
2015,台南市,芋,83.51,83.51,21676.78122,1810.228,,,,
2015,高雄市,芋,61.37,61.37,13871.77774,851.311,,,,
2015,宜蘭縣,芋,25.81,25.81,13773.26618,355.488,,,,
2015,新竹縣,芋,20.29,20.29,14507.14638,294.35,,,,
2015,苗栗縣,芋,576.31,576.31,15738.3266,9070.155,,,,
2015,彰化縣,芋,26.1,26.1,20784.67433,542.48,,,,
2015,南投縣,芋,19.25,19.25,12253.66234,235.883,,,,
2015,雲林縣,芋,77.36,77.36,22709.90176,1756.838,,,,
2015,嘉義縣,芋,40.35,40.35,16388.30235,661.268,,,,
2015,屏東縣,芋,423.86,423.86,15885.62733,6733.282,,,,
2015,台東縣,芋,103.29,103.29,7403.620873,764.72,,,,
2015,花蓮縣,芋,121.65,121.65,15899.89314,1934.222,,,,
2015,澎湖縣,芋,0.19,0.15,6126.666667,0.919,,,,
2015,基隆市,芋,0.04,0.04,9725,0.389,,,,
2015,新竹市,芋,4.32,4.32,13247.68519,57.23,,,,
2015,嘉義市,芋,1.56,1.56,13878.84615,21.651,,,,
2015,金門縣,芋,23.02,23.02,27200,626.144,,,,
2015,連江縣,芋,0,0,0,0,,,,
2015,新北市,馬鈴薯,0.05,0.05,20000,1,,,,
2015,台北市,馬鈴薯,0,0,0,0,,,,
2015,桃園市,馬鈴薯,0,0,0,0,,,,
2015,台中市,馬鈴薯,474.34,474.34,27798.57908,13185.978,,,,
2015,台南市,馬鈴薯,76.56,76.56,22251.82863,1703.6,,,,
2015,高雄市,馬鈴薯,0,0,0,0,,,,
2015,宜蘭縣,馬鈴薯,0,0,0,0,,,,
2015,新竹縣,馬鈴薯,0.1,0.1,15000,1.5,,,,
2015,苗栗縣,馬鈴薯,3.5,3.5,18385.71429,64.35,,,,
2015,彰化縣,馬鈴薯,2.24,2.24,24332.58929,54.505,,,,
2015,南投縣,馬鈴薯,0.5,0.5,15000,7.5,,,,
2015,雲林縣,馬鈴薯,1326.2,1326.2,25836.92052,34264.924,,,,
2015,嘉義縣,馬鈴薯,623.56,623.56,23709.4618,14784.272,,,,
2015,屏東縣,馬鈴薯,0,0,0,0,,,,
2015,台東縣,馬鈴薯,0,0,0,0,,,,
2015,花蓮縣,馬鈴薯,0.7,0.7,18500,12.95,,,,
2015,澎湖縣,馬鈴薯,0,0,0,0,,,,
2015,基隆市,馬鈴薯,0,0,0,0,,,,
2015,新竹市,馬鈴薯,0,0,0,0,,,,
2015,嘉義市,馬鈴薯,8,8,15500,124,,,,
2015,金門縣,馬鈴薯,2.41,2.41,18889.21162,45.523,,,,
2015,連江縣,馬鈴薯,0,0,0,0,,,,
2015,新北市,蔥,96.43,96.43,12569.07601,1212.036,,,,
2015,台北市,蔥,10.35,10.35,10993.23671,113.78,,,,
2015,桃園市,蔥,26.51,26.51,17976.04677,476.545,,,,
2015,台中市,蔥,121.08,121.08,20154.2699,2440.279,,,,
2015,台南市,蔥,34.47,34.47,16195.6774,558.265,,,,
2015,高雄市,蔥,177.54,177.54,14892.08066,2643.94,,,,
2015,宜蘭縣,蔥,678.66,678.66,18723.38432,12706.812,,,,
2015,新竹縣,蔥,39.19,39.19,16894.02909,662.077,,,,
2015,苗栗縣,蔥,54.2,54.2,13505.2583,731.985,,,,
2015,彰化縣,蔥,1643.5,1643.5,24832.18862,40811.702,,,,
2015,南投縣,蔥,13.2,13.2,12647.72727,166.95,,,,
2015,雲林縣,蔥,1426.21,1426.21,21869.76462,31190.877,,,,
2015,嘉義縣,蔥,85.16,85.16,15549.85909,1324.226,,,,
2015,屏東縣,蔥,57.01,57.01,16269.98772,927.552,,,,
2015,台東縣,蔥,11.72,11.72,15152.21843,177.584,,,,
2015,花蓮縣,蔥,56.83,56.83,12048.60109,684.722,,,,
2015,澎湖縣,蔥,24.24,24.21,7875.67121,190.67,,,,
2015,基隆市,蔥,0.48,0.48,9831.25,4.719,,,,
2015,新竹市,蔥,5.07,5.07,16987.37673,86.126,,,,
2015,嘉義市,蔥,0.53,0.53,12273.58491,6.505,,,,
2015,金門縣,蔥,1.59,1.59,18489.93711,29.399,,,,
2015,連江縣,蔥,0,0,0,0,,,,
2015,新北市,蔥頭,0,0,0,0,,,,
2015,台北市,蔥頭,0,0,0,0,,,,
2015,桃園市,蔥頭,0,0,0,0,,,,
2015,台中市,蔥頭,0.15,0.15,19673.33333,2.951,,,,
2015,台南市,蔥頭,912.78,912.78,11075.76634,10109.738,,,,
2015,高雄市,蔥頭,0.01,0.01,8000,0.08,,,,
2015,宜蘭縣,蔥頭,0.6,0.6,8550,5.13,,,,
2015,新竹縣,蔥頭,0.01,0.01,10500,0.105,,,,
2015,苗栗縣,蔥頭,0,0,0,0,,,,
2015,彰化縣,蔥頭,0.29,0.29,9406.896552,2.728,,,,
2015,南投縣,蔥頭,0,0,0,0,,,,
2015,雲林縣,蔥頭,51.63,51.63,11022.69998,569.102,,,,
2015,嘉義縣,蔥頭,74.69,74.69,10928.50449,816.25,,,,
2015,屏東縣,蔥頭,0,0,0,0,,,,
2015,台東縣,蔥頭,0.6,0.6,10000,6,,,,
2015,花蓮縣,蔥頭,0.1,0.1,10480,1.048,,,,
2015,澎湖縣,蔥頭,0,0,0,0,,,,
2015,基隆市,蔥頭,0,0,0,0,,,,
2015,新竹市,蔥頭,0,0,0,0,,,,
2015,嘉義市,蔥頭,0,0,0,0,,,,
2015,金門縣,蔥頭,0,0,0,0,,,,
2015,連江縣,蔥頭,0,0,0,0,,,,
2015,新北市,洋蔥,0,0,0,0,,,,
2015,台北市,洋蔥,0,0,0,0,,,,
2015,桃園市,洋蔥,0,0,0,0,,,,
2015,台中市,洋蔥,0.25,0.25,50500,12.625,,,,
2015,台南市,洋蔥,9.17,9.17,40133.15158,368.021,,,,
2015,高雄市,洋蔥,63.66,63.66,51096.54414,3252.806,,,,
2015,宜蘭縣,洋蔥,0,0,0,0,,,,
2015,新竹縣,洋蔥,0,0,0,0,,,,
2015,苗栗縣,洋蔥,0,0,0,0,,,,
2015,彰化縣,洋蔥,302.66,302.66,45047.79621,13634.166,,,,
2015,南投縣,洋蔥,0,0,0,0,,,,
2015,雲林縣,洋蔥,198.79,198.79,36461.59767,7248.201,,,,
2015,嘉義縣,洋蔥,86.04,86.04,55701.30172,4792.54,,,,
2015,屏東縣,洋蔥,404.44,404.44,64443.22767,26063.419,,,,
2015,台東縣,洋蔥,28.55,28.55,43500,1241.925,,,,
2015,花蓮縣,洋蔥,0,0,0,0,,,,
2015,澎湖縣,洋蔥,0,0,0,0,,,,
2015,基隆市,洋蔥,0,0,0,0,,,,
2015,新竹市,洋蔥,0,0,0,0,,,,
2015,嘉義市,洋蔥,0,0,0,0,,,,
2015,金門縣,洋蔥,0,0,0,0,,,,
2015,連江縣,洋蔥,0,0,0,0,,,,
2015,新北市,韭菜,25.93,25.93,13021.48091,337.647,,,,
2015,台北市,韭菜,0.05,0.05,4800,0.24,,,,
2015,桃園市,韭菜,64.64,64.64,38941.67698,2517.19,,,,
2015,台中市,韭菜,18.44,18.44,12695.39046,234.103,,,,
2015,台南市,韭菜,1.88,1.88,10011.17021,18.821,,,,
2015,高雄市,韭菜,8.29,8.29,19048.49216,157.912,,,,
2015,宜蘭縣,韭菜,37.03,37.03,12645.09857,468.248,,,,
2015,新竹縣,韭菜,7.18,7.18,13596.79666,97.625,,,,
2015,苗栗縣,韭菜,2.54,2.54,16567.32283,42.081,,,,
2015,彰化縣,韭菜,654.88,654.13,41636.06623,27235.4,,,,
2015,南投縣,韭菜,0.45,0.45,30000,13.5,,,,
2015,雲林縣,韭菜,2.05,1.91,18979.05759,36.25,,,,
2015,嘉義縣,韭菜,0.4,0.4,8000,3.2,,,,
2015,屏東縣,韭菜,14.2,14.2,11090.14085,157.48,,,,
2015,台東縣,韭菜,5.5,5.5,19052.18182,104.787,,,,
2015,花蓮縣,韭菜,63.4,63.4,16514.02208,1046.989,,,,
2015,澎湖縣,韭菜,0.06,0.05,9700,0.485,,,,
2015,基隆市,韭菜,0.6,0.6,10496.66667,6.298,,,,
2015,新竹市,韭菜,0.12,0.12,12450,1.494,,,,
2015,嘉義市,韭菜,0,0,0,0,,,,
2015,金門縣,韭菜,0,0,0,0,,,,
2015,連江縣,韭菜,0,0,0,0,,,,
2015,新北市,蒜,20.09,20.09,12929.91538,259.762,,,,
2015,台北市,蒜,0.84,0.84,1350,1.134,,,,
2015,桃園市,蒜,3.83,3.83,14926.37076,57.168,,,,
2015,台中市,蒜,11.5,11.5,14385.65217,165.435,,,,
2015,台南市,蒜,1.42,1.42,20000,28.4,,,,
2015,高雄市,蒜,2.71,2.71,9450.184502,25.61,,,,
2015,宜蘭縣,蒜,145.5,145.3,21224.64556,3083.941,,,,
2015,新竹縣,蒜,9.29,9.29,15832.61572,147.085,,,,
2015,苗栗縣,蒜,12.09,12.09,15193.54839,183.69,,,,
2015,彰化縣,蒜,103.88,103.88,14717.47208,1528.851,,,,
2015,南投縣,蒜,127.56,127.56,15931.71841,2032.25,,,,
2015,雲林縣,蒜,217.51,217.51,22656.28707,4927.969,,,,
2015,嘉義縣,蒜,22.24,22.24,17375.26978,386.426,,,,
2015,屏東縣,蒜,0.1,0.1,16620,1.662,,,,
2015,台東縣,蒜,2.61,2.61,21000,54.81,,,,
2015,花蓮縣,蒜,5.6,5.6,9241.071429,51.75,,,,
2015,澎湖縣,蒜,2.7,2.7,10370.37037,28,,,,
2015,基隆市,蒜,0,0,0,0,,,,
2015,新竹市,蒜,0.62,0.62,13548.3871,8.4,,,,
2015,嘉義市,蒜,0.05,0.05,5800,0.29,,,,
2015,金門縣,蒜,1.7,1.7,23104.70588,39.278,,,,
2015,連江縣,蒜,0,0,0,0,,,,
2015,新北市,蒜頭,0,0,0,0,,,,
2015,台北市,蒜頭,0,0,0,0,,,,
2015,桃園市,蒜頭,0,0,0,0,,,,
2015,台中市,蒜頭,0,0,0,0,,,,
2015,台南市,蒜頭,275.61,275.61,8296.077791,2286.482,,,,
2015,高雄市,蒜頭,0.03,0.03,8100,0.243,,,,
2015,宜蘭縣,蒜頭,1.89,1.89,9370.37037,17.71,,,,
2015,新竹縣,蒜頭,0.24,0.24,6200,1.488,,,,
2015,苗栗縣,蒜頭,0,0,0,0,,,,
2015,彰化縣,蒜頭,185.09,185.09,9370.063212,1734.305,,,,
2015,南投縣,蒜頭,0,0,0,0,,,,
2015,雲林縣,蒜頭,3650.75,3650.75,12420.17503,45342.954,,,,
2015,嘉義縣,蒜頭,30.3,30.3,10130.69307,306.96,,,,
2015,屏東縣,蒜頭,0,0,0,0,,,,
2015,台東縣,蒜頭,2.14,2.14,6000,12.84,,,,
2015,花蓮縣,蒜頭,0.4,0.4,8900,3.56,,,,
2015,澎湖縣,蒜頭,0,0,0,0,,,,
2015,基隆市,蒜頭,0.02,0.02,9850,0.197,,,,
2015,新竹市,蒜頭,0,0,0,0,,,,
2015,嘉義市,蒜頭,0,0,0,0,,,,
2015,金門縣,蒜頭,1.59,1.59,5584.27673,8.879,,,,
2015,連江縣,蒜頭,0,0,0,0,,,,
2015,新北市,荸薺,0,0,0,0,,,,
2015,台北市,荸薺,0,0,0,0,,,,
2015,桃園市,荸薺,0,0,0,0,,,,
2015,台中市,荸薺,0,0,0,0,,,,
2015,台南市,荸薺,0,0,0,0,,,,
2015,高雄市,荸薺,0,0,0,0,,,,
2015,宜蘭縣,荸薺,0,0,0,0,,,,
2015,新竹縣,荸薺,0,0,0,0,,,,
2015,苗栗縣,荸薺,0,0,0,0,,,,
2015,彰化縣,荸薺,6.37,6.37,15651.49137,99.7,,,,
2015,南投縣,荸薺,0,0,0,0,,,,
2015,雲林縣,荸薺,0,0,0,0,,,,
2015,嘉義縣,荸薺,3.7,3.7,9702.702703,35.9,,,,
2015,屏東縣,荸薺,0,0,0,0,,,,
2015,台東縣,荸薺,0,0,0,0,,,,
2015,花蓮縣,荸薺,0,0,0,0,,,,
2015,澎湖縣,荸薺,0,0,0,0,,,,
2015,基隆市,荸薺,0,0,0,0,,,,
2015,新竹市,荸薺,0,0,0,0,,,,
2015,嘉義市,荸薺,0,0,0,0,,,,
2015,金門縣,荸薺,0,0,0,0,,,,
2015,連江縣,荸薺,0,0,0,0,,,,
2015,新北市,竹筍,3118.87,3070.82,4824.987137,14816.667,,,,
2015,台北市,竹筍,715.65,715.65,2974.351988,2128.595,,,,
2015,桃園市,竹筍,934.26,931.33,5186.911192,4830.726,,,,
2015,台中市,竹筍,1071.82,1065.22,10208.31753,10874.104,,,,
2015,台南市,竹筍,3872.11,3855.32,9527.111109,36730.062,,,,
2015,高雄市,竹筍,1699.23,1698.93,10736.33287,18240.278,,,,
2015,宜蘭縣,竹筍,248.23,248.23,9779.937961,2427.674,,,,
2015,新竹縣,竹筍,371.24,371.24,6587.560608,2445.566,,,,
2015,苗栗縣,竹筍,2431.38,2430.66,9231.55933,22438.782,,,,
2015,彰化縣,竹筍,326.12,326.12,12642.4629,4122.96,,,,
2015,南投縣,竹筍,2305,2305,8565.686768,19743.908,,,,
2015,雲林縣,竹筍,3731.52,3730.02,17929.32129,66876.727,,,,
2015,嘉義縣,竹筍,4935.42,4317.04,6934.213026,29935.275,,,,
2015,屏東縣,竹筍,428.86,428.86,11075.77997,4749.959,,,,
2015,台東縣,竹筍,232.97,232.97,6198.403228,1444.042,,,,
2015,花蓮縣,竹筍,685.47,685.17,6021.102792,4125.479,,,,
2015,澎湖縣,竹筍,0,0,0,0,,,,
2015,基隆市,竹筍,138.13,138.13,4497.849852,621.288,,,,
2015,新竹市,竹筍,22.72,22.72,5695.422535,129.4,,,,
2015,嘉義市,竹筍,85.27,85.27,9006.755013,768.006,,,,
2015,金門縣,竹筍,0,0,0,0,,,,
2015,連江縣,竹筍,0,0,0,0,,,,
2015,新北市,蘆筍,0.72,0.72,3216.666667,2.316,,,,
2015,台北市,蘆筍,0,0,0,0,,,,
2015,桃園市,蘆筍,0,0,0,0,,,,
2015,台中市,蘆筍,17.41,17.41,6651.63699,115.805,,,,
2015,台南市,蘆筍,102.9,102.9,6159.708455,633.834,,,,
2015,高雄市,蘆筍,9.89,9.89,5453.791709,53.938,,,,
2015,宜蘭縣,蘆筍,0.3,0.3,5333.333333,1.6,,,,
2015,新竹縣,蘆筍,0.13,0.13,7561.538462,0.983,,,,
2015,苗栗縣,蘆筍,0.6,0.6,3193.333333,1.916,,,,
2015,彰化縣,蘆筍,288.71,288.71,5002.791729,1444.356,,,,
2015,南投縣,蘆筍,3.1,3.1,5500,17.05,,,,
2015,雲林縣,蘆筍,39.35,39.35,5774.434562,227.224,,,,
2015,嘉義縣,蘆筍,86.38,86.38,4307.9185,372.118,,,,
